videoIndex,videoEmotion,percCompleted,anger,disgust,fear,sadness,amusement,inspiration,joy,tenderness,valence,arousal,liking,familiarity
23.0,joy,99.95799201848351,0.0,0.0,0.0,0.0,0.31249999999999706,25.312499999999996,42.604166666666664,16.041666666666664,71.25000000000001,21.458333333333332,59.166666666666664,0.2083333333333326
18.0,amusement,99.96306555863342,0.31249999999999706,6.874999999999997,0.7291666666666622,1.2500000000000029,1.0416666666666667,0.7291666666666622,1.0416666666666667,0.9375000000000022,0.7291666666666622,0.10416666666666814,1.666666666666668,1.0416666666666667
25.0,joy,99.92715523148048,0.10416666666666814,0.4166666666666652,0.31249999999999706,0.31249999999999706,0.8333333333333378,51.354166666666664,14.16666666666667,0.8333333333333378,66.77083333333333,11.770833333333337,62.5,5.312499999999997
20.0,inspiration,99.9627032396483,0.0,0.0,1.0416666666666667,1.2500000000000029,0.5208333333333334,65.83333333333333,1.0416666666666667,1.666666666666668,72.70833333333333,22.187499999999996,58.43749999999999,4.166666666666667
10.0,sadness,99.96306555863342,0.9375000000000022,0.0,1.1458333333333348,29.583333333333332,0.6249999999999978,0.2083333333333326,0.0,54.27083333333332,21.770833333333332,24.687500000000004,45.208333333333336,17.708333333333332
5.0,disgust,99.96153117410302,0.31249999999999706,51.354166666666664,0.0,0.10416666666666814,0.0,0.4166666666666652,0.8333333333333378,0.2083333333333326,26.250000000000004,8.124999999999998,3.854166666666662,1.8749999999999971
7.0,fear,99.9627032396483,0.0,0.0,20.104166666666664,0.0,0.0,0.0,0.2083333333333326,0.0,43.958333333333336,18.75,50.0,29.166666666666668
6.0,disgust,99.96306555863342,0.0,20.416666666666668,0.6249999999999978,0.5208333333333334,0.10416666666666814,0.7291666666666622,0.10416666666666814,0.8333333333333378,25.312499999999996,15.937499999999998,30.625000000000004,11.04166666666667
11.0,sadness,99.96005592170961,0.0,0.0,0.0,11.666666666666663,0.0,0.0,0.5208333333333334,19.062499999999996,50.10416666666668,17.91666666666666,49.6875,12.187500000000002
8.0,fear,99.96287409886571,0.0,0.0,25.520833333333332,0.0,1.0416666666666667,0.10416666666666814,0.7291666666666622,0.0,49.791666666666664,34.166666666666664,54.37499999999999,11.145833333333334
2.0,anger,99.9627032396483,0.10416666666666814,0.5208333333333334,0.0,0.0,0.10416666666666814,0.31249999999999706,0.0,0.0,49.583333333333336,6.458333333333332,35.10416666666667,0.6249999999999978
3.0,anger,99.9627032396483,3.229166666666668,0.10416666666666814,0.4166666666666652,0.0,0.6249999999999978,0.9375000000000022,0.5208333333333334,1.0416666666666667,39.166666666666664,12.5,40.625,9.270833333333332
22.0,inspiration,99.95696148052508,0.0,0.6249999999999978,0.0,0.4166666666666652,0.8333333333333378,6.041666666666668,0.0,0.4166666666666652,56.458333333333336,0.0,47.604166666666664,13.854166666666666
27.0,tenderness,99.94678637098856,0.0,0.31249999999999706,0.0,0.0,0.5208333333333334,5.416666666666662,0.2083333333333326,21.04166666666666,66.97916666666667,21.458333333333332,58.22916666666668,31.666666666666668
24.0,joy,99.9627032396483,0.4166666666666652,0.6249999999999978,0.9375000000000022,0.31249999999999706,0.0,0.31249999999999706,0.2083333333333326,24.79166666666666,59.47916666666666,13.541666666666666,57.083333333333336,12.187500000000002
21.0,inspiration,99.96306555863342,0.0,0.0,0.0,0.10416666666666814,0.0,21.562500000000004,5.937500000000003,0.0,67.60416666666667,28.229166666666668,60.104166666666664,9.999999999999998
9.0,fear,99.95915032679738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6875,0.2083333333333326,35.62500000000001,3.749999999999998
12.0,sadness,99.96306555863342,0.0,0.0,0.0,14.791666666666663,0.0,0.0,0.0,0.0,45.104166666666664,6.562499999999997,39.583333333333336,6.562499999999997
4.0,disgust,99.96306555863342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.708333333333336,0.0,20.000000000000004,0.0
1.0,anger,99.96306555863342,3.958333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,6.874999999999997,56.25,8.333333333333334
28.0,tenderness,99.96289465960004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.895833333333336,68.12500000000001,17.91666666666666,68.95833333333333,6.979166666666662
26.0,tenderness,99.95504607777028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.20833333333333,59.99999999999999,13.750000000000002,68.22916666666667,6.770833333333333
19.0,amusement,99.96287409886571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.958333333333336,0.0,43.229166666666664,3.3333333333333326
17.0,amusement,99.9496855345912,0.0,0.0,0.0,0.0,21.458333333333332,0.0,0.0,0.10416666666666814,50.31250000000001,25.520833333333332,54.895833333333336,18.02083333333334
14.0,neutral,99.90675990675992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,3.020833333333332,0.0
13.0,neutral,99.96119876604394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.10416666666668,0.0,26.041666666666668,0.0
16.0,neutral,99.91624790619767,0.0,0.0,0.10416666666666814,0.0,0.0,0.2083333333333326,0.0,0.0,50.31250000000001,0.0,6.25,0.0
15.0,neutral,99.93552546744036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.10416666666668,0.0,2.187499999999998,0.0
