videoIndex,videoEmotion,percCompleted,anger,disgust,fear,sadness,amusement,inspiration,joy,tenderness,valence,arousal,liking,familiarity
27.0,tenderness,99.96027825215546,0.0,0.0,0.0,0.10416666666666814,53.54166666666668,97.70833333333333,98.33333333333333,100.0,88.22916666666667,61.666666666666664,100.0,99.89583333333333
25.0,joy,99.96306555863342,0.0,0.0,0.0,0.10416666666666814,34.99999999999999,68.54166666666667,83.54166666666667,83.54166666666667,91.97916666666667,66.14583333333333,93.85416666666667,87.29166666666667
22.0,inspiration,99.95696148052508,0.0,0.0,11.875000000000002,6.25,16.666666666666668,94.99999999999999,66.14583333333333,66.87499999999999,66.35416666666667,66.87499999999999,66.45833333333333,83.22916666666667
26.0,tenderness,99.96306555863342,8.750000000000002,0.0,83.02083333333333,100.0,0.0,77.91666666666667,0.0,74.37500000000001,39.0625,63.541666666666664,46.666666666666664,79.27083333333333
12.0,sadness,99.96306555863342,17.083333333333332,6.25,66.35416666666667,87.5,0.0,3.3333333333333326,0.0,0.0,21.14583333333334,66.35416666666667,25.312499999999996,67.08333333333334
1.0,anger,99.96307256270877,66.56250000000001,5.833333333333335,62.81250000000001,73.54166666666666,0.0,0.0,0.0,16.45833333333334,44.270833333333336,65.41666666666667,37.291666666666664,100.0
10.0,sadness,99.9506538366642,14.0625,14.16666666666667,66.35416666666667,96.97916666666667,0.0,0.0,0.0,3.020833333333332,45.416666666666664,43.12500000000001,38.22916666666667,84.27083333333334
4.0,disgust,99.96172229672398,0.7291666666666622,66.87499999999999,4.583333333333332,51.87500000000001,0.0,0.0,0.0,0.0,48.020833333333336,66.77083333333333,24.062499999999996,59.895833333333336
15.0,neutral,99.96306555863342,0.0,0.0,0.0,66.77083333333333,0.0,96.14583333333333,77.08333333333333,83.54166666666667,94.375,67.60416666666667,95.52083333333333,95.41666666666667
16.0,neutral,99.96306555863342,2.0833333333333335,0.0,54.27083333333332,70.3125,0.0,0.0,0.0,5.104166666666665,34.68749999999999,31.562499999999996,25.624999999999996,72.91666666666667
13.0,neutral,99.96306555863342,0.0,0.0,0.0,0.0,3.437499999999997,94.06250000000001,83.22916666666667,61.56249999999999,76.45833333333334,55.62500000000001,84.68750000000001,82.49999999999999
14.0,neutral,99.88857994366896,0.0,0.0,0.0,0.0,0.8333333333333378,0.0,1.666666666666668,0.0,43.4375,3.3333333333333326,51.354166666666664,66.35416666666667
11.0,sadness,99.96005592170961,0.0,0.0,66.56250000000001,94.89583333333333,0.0,0.0,0.0,3.3333333333333326,43.12500000000001,63.95833333333334,65.10416666666667,83.22916666666667
8.0,fear,99.94833402208302,59.895833333333336,59.166666666666664,66.97916666666667,33.333333333333336,0.0,0.0,0.0,0.0,39.89583333333333,58.95833333333332,28.541666666666668,64.0625
5.0,disgust,99.83896940418681,0.0,83.33333333333333,4.999999999999997,5.937500000000003,0.0,0.0,0.31249999999999706,0.0,40.520833333333336,46.25000000000001,26.35416666666666,64.0625
3.0,anger,99.95348860454298,82.91666666666666,8.333333333333334,0.0,57.70833333333334,0.0,18.541666666666664,0.0,1.1458333333333348,41.35416666666667,57.91666666666666,36.56249999999999,65.52083333333334
24.0,joy,99.9630585519707,0.0,0.0,0.0,0.0,0.0,64.89583333333333,95.62500000000001,51.770833333333336,83.75000000000001,56.87499999999999,76.87500000000001,66.35416666666667
19.0,amusement,99.96306555863342,15.208333333333336,8.750000000000002,0.0,57.39583333333332,52.395833333333336,0.0,0.0,0.0,45.625,45.104166666666664,25.624999999999996,66.35416666666667
17.0,amusement,99.96307256270877,0.0,0.0,0.0,0.0,83.22916666666667,0.0,33.43749999999999,26.979166666666668,59.895833333333336,59.27083333333334,68.12500000000001,67.81249999999999
23.0,joy,99.96083826113342,0.0,0.0,0.0,0.0,0.0,93.54166666666667,92.29166666666667,52.70833333333332,82.39583333333333,60.104166666666664,74.47916666666667,37.083333333333336
18.0,amusement,99.95851483094795,0.10416666666666814,0.0,0.10416666666666814,0.0,54.06250000000001,0.0,3.437499999999997,2.0833333333333335,62.39583333333334,53.958333333333336,56.56250000000001,47.708333333333336
28.0,tenderness,99.92310649750095,0.0,0.0,0.0,0.0,0.0,66.77083333333333,83.02083333333333,90.31249999999999,87.29166666666667,67.29166666666666,100.0,53.645833333333336
21.0,inspiration,99.96306555863342,0.0,0.2083333333333326,0.0,0.0,0.0,91.14583333333333,9.895833333333334,0.0,64.89583333333333,64.16666666666666,71.66666666666667,91.45833333333333
20.0,inspiration,99.96307256270877,0.0,0.0,0.0,0.0,0.0,100.0,80.93749999999999,52.70833333333332,95.62500000000001,88.64583333333333,97.5,88.95833333333333
7.0,fear,99.96306555863342,0.0,0.0,66.14583333333333,0.0,53.333333333333336,0.0,13.854166666666666,1.458333333333332,58.75000000000001,59.895833333333336,61.145833333333336,75.93750000000001
6.0,disgust,99.882005899705,3.5416666666666656,88.22916666666667,0.10416666666666814,53.854166666666664,0.0,0.0,0.0,0.0,33.54166666666667,61.35416666666668,14.687499999999998,74.37500000000001
9.0,fear,99.93208794590122,2.812500000000003,0.0,95.62500000000001,1.458333333333332,0.0,0.0,0.2083333333333326,0.10416666666666814,39.68749999999999,80.10416666666667,16.770833333333336,68.22916666666667
2.0,anger,99.96306555863342,62.60416666666666,0.10416666666666814,4.166666666666667,6.25,0.0,0.0,0.0,0.0,32.916666666666664,62.708333333333336,18.437500000000004,35.20833333333333
